week,activation_id,restaurant_name,location_name,activation_description,minimum_spend_threshold,reward_amount,activation_start,activation_end,unique_users_count,unique_users_count_REDEEMED,total_tpv,median_check,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage,notes,emails,email_match_confidence,email_match_notes
Week 6,"26,317, 26,316, 26,315, 26,314, 26,313, 26,312, 26,311, 26,310, 26,309, 26,308, 25,076, 25,075, 25,074, 25,073, 25,072, 25,071, 25,070, 25,069, 25,068",Paper Son Coffee,Paper Son Coffee - Dogpatch,"Spend $25 with Blackbird Pay, get $25 in $FLY back",25,25,2025-11-03 10:00:00,2025-11-21 14:00:00,4,1,57.07,6,-80.59,-34.69,25,6100,3,1,75,,papersoncoffee@gmail.com,85.2%,1 email(s) from 1 match(es) above 70%
Week 6,"26,307, 25,067, 25,066",Paper Son Coffee,SOMA,"Spend $25 with Blackbird Pay, get $25 in $FLY back",25,25,2025-11-03 10:00:00,2025-11-17 14:00:00,19,13,424.06,25,-74.64,222.58,325,6100,1,18,5.26,,"papersoncoffee@gmail.com, papersoncoffee@gmail.com",100%,2 email(s) from 2 match(es) (including 1 perfect)
Week 6,"25,297, 25,296, 25,295, 25,294, 25,293, 25,292, 25,291, 25,290",Park & Grove,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30,10,2025-10-29 13:00:00,2025-11-21 17:00:00,7,4,274.09,26.8,-92.04,-31.78,40,4590,2,5,28.57,,"trish@parkandgrovechs.com, ap@parkandgrovechs.com, rachael@allgoodindustries.com, Savannah@allgoodindustries.com",94.0%,4 email(s) from 4 match(es) above 70%
Week 6,"25,462, 25,461, 25,460, 25,459",Rosalind Bakery,Financial District,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25,10,2025-10-27 11:00:00,2025-11-17 15:00:00,1,0,9.02,9.02,-94.75,12.75,0,2500,0,1,0,,alezuluagacorrea@gmail.com,86.2%,1 email(s) from 1 match(es) above 70%
Week 6,"25,019, 25,012, 25,011, 25,010, 25,009",Rudy Royale,Rudy Royale,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55,20,2025-10-26 10:00:00,2025-11-23 14:00:00,5,5,426.05,59.75,,,100,4250,4,1,80,,gm@rudyroyale.com,94.7%,1 email(s) from 1 match(es) above 70%
Week 6,"24,801, 24,800, 24,799, 24,798, 24,797, 24,796, 24,795, 24,794, 24,793, 24,792, 24,791, 24,790, 24,789, 24,787, 24,786, 24,785, 24,783, 24,782, 24,780, 24,779, 24,777, 24,776",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,100,50,2025-10-25 7:00:00,2025-11-21 19:00:00,20,3,1230.43,17.92,,,150,1450,7,13,35,,gabby.green@sagaponackgeneralstore.com,100%,1 email(s) from 1 match(es) (including 1 perfect)
Week 6,"26,339, 26,338, 26,337, 26,336, 26,335, 26,334, 26,333, 26,332, 26,331, 26,330, 26,329, 26,328, 26,327, 26,326, 26,325, 26,324",Sereneco,Greenpoint,"Spend $100 with Blackbird Pay, get $50 in $FLY back",100,50,2025-11-15 8:30:00,2025-11-30 21:00:00,20,15,2270.63,87.02,670.68,165.99,750,3850,17,3,85,,"info@sereneconyc.com, billy@sereneconyc.com",100%,2 email(s) from 2 match(es) (including 1 perfect)
Week 6,"25,408, 25,407, 25,406, 25,405",Spike's Coffees and Teas,The Castro,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25,10,2025-10-29 13:00:00,2025-11-19 17:00:00,1,0,9,9,-97.42,33.33,0,2500,0,1,0,,mike@spikescoffee.com,81.0%,1 email(s) from 1 match(es) above 70%
Week 6,"25,265, 25,264, 25,263, 25,262, 25,261, 25,260, 25,259, 25,258, 25,257, 25,256, 25,255, 25,254",Taco Boy,Downtown,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50,20,2025-10-28 11:00:00,2025-11-20 15:00:00,3,2,142.4,52.97,-93.11,71.4,40,4590,1,2,33.33,,Savannah@allgoodindustries.com,89.0%,1 email(s) from 1 match(es) above 70%
Week 6,"25,277, 25,276, 25,275, 25,274, 25,273, 25,272, 25,271, 25,270, 25,269, 25,268, 25,267, 25,266",Taco Boy,Folly Beach,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50,20,2025-10-28 12:00:00,2025-11-20 15:00:00,3,2,166.94,65.82,-70.75,210.25,40,4590,2,1,66.67,,"savannah@allgoodindustries.com, Savannah@allgoodindustries.com",100%,2 email(s) from 2 match(es) (including 1 perfect)
Week 6,"25,289, 25,288, 25,287, 25,286, 25,285, 25,284, 25,283, 25,282, 25,281, 25,280, 25,279, 25,278",Taco Boy,Summerville,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50,20,2025-10-28 11:00:00,2025-11-20 15:00:00,0,0,0,,,,0,4590,0,0,,No transactions during activation period,"savannah@allgoodindustries.com, Savannah@allgoodindustries.com",100%,2 email(s) from 2 match(es) (including 1 perfect)
Week 6,"25,458, 25,457, 25,456, 25,455",The Archer,East Central,"Spend $80 with Blackbird Pay, get $25 in $FLY back",80,25,2025-10-30 17:00:00,2025-11-20 21:00:00,8,3,595.31,58.84,-77.47,32.38,75,4650,4,4,50,,,No match,No contacts matched above confidence threshold
Week 6,"26,586, 26,585, 25,438, 25,437, 25,436",The Bar at The Spectator,French Quarter,"Spend $30 with Blackbird Pay, receive $10 FLY back",30,10,2025-10-29 15:00:00,2025-11-26 22:00:00,2,2,76.6,38.3,977.36,438.68,20,4775,2,0,100,,,No match,No contacts matched above confidence threshold
Week 6,"26,591, 25,435, 25,434, 25,433",The Bar at The Spectator,French Quarter,"Spend $50 with Blackbird Pay, receive $25 FLY back",50,25,2025-10-27 15:00:00,2025-11-24 18:00:00,0,0,0,,,,0,4775,0,0,,No transactions during activation period,,No match,No contacts matched above confidence threshold
Week 6,"24,860, 24,859, 24,858, 24,857, 24,856, 24,855",The Lost Draft,SoHo,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25,10,2025-10-26 8:00:00,2025-11-30 12:00:00,1,1,27.22,13.61,,,10,2450,1,0,100,,vc7@thelostdraft.com,100%,1 email(s) from 1 match(es) (including 1 perfect)
Week 6,"25,759, 25,758, 25,757, 25,756, 25,755, 25,754, 25,753, 25,752",X-Golf,Williamsburg,"Spend $30 with Blackbird Pay, get $15 in $FLY back",30,15,2025-11-03 7:00:00,2025-11-28 19:00:00,3,2,185.99,33.18,-26.87,-47.12,30,4925,1,2,33.33,,birdies@xgolfbrooklyn.com,100%,1 email(s) from 1 match(es) (including 1 perfect)
